Ni,Nf,material,seccion
1,2,1,6
2,3,1,6
3,4,1,6
4,1,1,6
1,5,1,2
2,6,1,2
3,7,1,2
4,8,1,1
2,5,1,7
3,6,1,7
3,8,1,7
4,5,1,7
5,6,1,6
6,7,1,6
7,8,1,6
8,5,1,6
5,9,5,6
6,10,5,6
7,11,5,6
8,12,5,5
5,10,1,7
6,11,1,7
8,11,1,7
5,12,1,7
9,10,1,6
10,11,1,6
11,12,1,6
12,9,1,6
9,13,1,2
10,14,1,2
11,15,1,2
12,16,1,1
10,13,1,7
11,14,1,7
11,16,1,7
12,13,1,7
13,14,1,6
14,15,1,6
15,16,1,6
16,13,1,6
13,17,1,6
14,18,1,6
15,19,1,6
16,20,1,5
13,18,1,7
14,19,1,7
16,19,1,7
13,20,1,7
17,18,1,6
18,19,1,6
19,20,1,6
20,17,1,6
17,21,1,2
18,22,1,2
19,23,1,2
20,24,1,1
18,21,1,7
19,22,1,7
19,24,1,7
20,21,1,7
21,22,1,6
22,23,1,6
23,24,1,6
24,21,1,6
21,25,1,6
22,26,1,6
23,27,1,6
24,28,1,5
21,26,1,7
22,27,1,7
24,27,1,7
21,28,1,7
25,26,1,6
26,27,1,6
27,28,1,6
28,25,1,6
25,29,1,2
26,30,1,2
27,31,1,2
28,32,1,1
26,29,1,7
27,30,1,7
27,32,1,7
28,29,1,7
29,30,1,6
30,31,1,6
31,32,1,6
32,29,1,6
29,33,1,6
30,34,1,6
31,35,1,6
32,36,1,5
29,34,1,7
30,35,1,7
32,35,1,7
29,36,1,7
33,34,1,6
34,35,1,6
35,36,1,6
36,33,1,6
33,37,1,2
34,38,1,2
35,39,1,2
36,40,1,1
34,37,1,7
35,38,1,7
35,40,1,7
36,37,1,7
37,38,1,6
38,39,1,6
39,40,1,6
40,37,1,6
37,41,1,6
38,42,1,6
39,43,1,6
40,44,1,5
37,42,1,7
38,43,1,7
40,43,1,7
37,44,1,7
41,42,1,6
42,43,1,6
43,44,1,6
44,41,1,6
41,45,1,2
42,46,1,2
43,47,1,2
44,48,1,1
42,45,1,7
43,46,1,7
43,48,1,7
44,45,1,7
45,46,1,6
46,47,1,6
47,48,1,6
48,45,1,6
